# sigil	dependency
resolution-router	lens-router
resolution-router	low-resolution-explanation
resolution-router	medium-resolution-explanation
low-resolution-explanation	lens-router
low-resolution-explanation	resolution-router
medium-resolution-explanation	lens-router
medium-resolution-explanation	resolution-router
